iter	Passed	Remaining
293	4439	10661
294	4451	10638
295	4461	10611
296	4472	10586
297	4484	10563
298	4497	10543
299	4513	10531
300	4538	10540
301	4558	10536
302	4591	10562
303	4614	10565
304	4637	10567
305	4661	10571
306	4680	10566
307	4701	10563
308	4719	10553
309	4732	10534
310	4745	10513
311	4766	10510
312	4796	10528
313	4812	10514
314	4824	10490
315	4835	10467
316	4848	10447
317	4859	10422
318	4869	10396
319	4880	10370
320	4891	10347
321	4901	10321
322	4912	10297
323	4929	10285
324	4952	10286
325	4967	10271
326	4980	10249
327	4990	10224
328	5000	10198
329	5011	10174
330	5021	10149
331	5032	10125
332	5043	10102
333	5056	10082
334	5069	10063
335	5079	10039
336	5090	10014
337	5100	9989
338	5111	9966
339	5121	9941
340	5132	9918
341	5145	9899
342	5155	9875
343	5165	9850
344	5176	9827
345	5187	9804
346	5201	9787
347	5220	9781
348	5237	9770
349	5250	9750
350	5264	9733
351	5311	9777
352	5382	9865
353	5419	9889
354	5442	9889
355	5456	9871
356	5469	9850
357	5480	9828
358	5492	9807
359	5503	9783
360	5515	9762
361	5525	9738
362	5539	9721
363	5549	9696
364	5560	9674
365	5571	9651
366	5583	9630
367	5595	9609
368	5608	9590
369	5627	9581
370	5640	9563
371	5653	9544
372	5667	9527
373	5681	9508
374	5694	9491
375	5709	9475
376	5720	9453
377	5733	9434
378	5749	9420
379	5760	9398
380	5775	9384
381	5786	9361
382	5797	9340
383	5807	9316
384	5819	9295
385	5831	9276
386	5844	9256
387	5863	9248
388	5877	9232
389	5895	9220
390	5909	9204
391	5920	9183
392	5940	9175
393	5957	9162
394	5972	9147
395	5985	9129
396	5999	9112
397	6011	9093
398	6026	9077
399	6038	9058
400	6048	9035
401	6058	9012
402	6068	8990
